name,@lat,@lon,addr:street,contact:phone,contact:website,opening_hours
Metou,48.8493501,2.3391528,Rue Corneille,,,"Tu-Sa 11:30-15:00,19:00-22:30"
Silencio des Prés,48.8546811,2.3332029,,,,Tu-Sa 19:00-02:00
Polidor,48.8498182,2.3401339,,,,"Mo-Su 12:00-14:30,19:00-00:30"
La Grivoiserie,48.8441789,2.3299201,,,,Mo-Sa 11:30-20:30
Le Trait D'Union,48.8468341,2.3265156,,,,Mo-Sa 07:00-02:00
Buddha-Bar Paris,48.8680799,2.3215688,Rue Boissy d'Anglas,,,
Qasim,48.8710439,2.3094204,Rue du Colisée,,,
Diep,48.8695157,2.3030346,,,,
Hanoï Cà Phê,48.8714582,2.3357136,Boulevard des Italiens,,,Mo-Su 12:00-02:00
Bouillon Chartier,48.8719475,2.3430256,Rue du Faubourg Montmartre,,,Mo-Su 11:30-24:00
Le Café Zéphyr,48.8718728,2.3418493,,,,
Julien,48.8705409,2.3532213,,+33 1 47 70 12 06,https://www.bouillon-julien.com/,Mo-Su 11:45-24:00
Le Royal Est,48.8755247,2.3590436,,,,"Mo-Sa 06:00-02:00, Su 07:00-02:00"
Bouillon Chartier,48.8759276,2.3587225,,,,Mo-Su 11:30-00:00
Clown-Bar,48.8636232,2.3671745,,,,"Mo-Fr 12:30-14:00, 19:00-23:00"
Biondi,48.8638211,2.3670738,Rue Amelot,,,
Rang,48.8680028,2.3732066,,,,
Le Troisième Bureau,48.8656744,2.3707975,,,,
Cannibale Café,48.8684100,2.3793255,Rue Jean-Pierre Timbaud,,,Mo-Su 07:30-02:00; Sa 09:00-02:00; Su 09:00-24:00
Avé Maria,48.8644844,2.3730277,,,,Mo-Su 19:00-1:30
Le Café des Anges,48.8554359,2.3744522,Rue de la Roquette,,,Mo-Su 07:30-02:00
Le Cyrano,48.8561021,2.3751898,,,,
Justine,48.8656774,2.3778866,Rue Oberkampf,,,Mo-Su 08:00-02:00
Le Voltaire,48.8651691,2.3673694,,,,
Sinorama,48.8263633,2.3601703,,,,"12:00-15:00,18:30-24:00"
Phở Banh Cuon 14,48.8263649,2.3595297,Avenue de Choisy,,,
Le Temps des Cerises,48.8278771,2.3505246,Rue de la Butte-aux-Cailles,,,"Mo-Fr 12:00-14:30, 19:00-23:00; Sa 12:00-15:00, 19:00-23:00"
Atelier 58,48.8350004,2.3270301,,,,
Papa yoyo,48.8332286,2.3157120,Rue de Gergovie,,,"Tu-Sa 12:00-02:00,18:00-22:30"
Le Pétel,48.8413291,2.2990993,,,,
Perlamatta,48.8407836,2.2882769,Rue de la Convention,,,
Andia,48.8581109,2.2722200,Chaussée de la Muette,,,
La Pétaudière,48.8869322,2.3399586,Rue Norvins,,,
Le Grain de Folie,48.8848974,2.3405148,Rue la Vieuville,,,
GrandCœur,48.8596160,2.3534984,,,,
Marcello,48.8523229,2.3350302,,,,"Mo-Fr 12:00-14:15,18:45-22:30; Sa-Su 12:00-22:30"
Café Jacquemart-André,48.8755021,2.3103942,,,,"Mo-Fr 11:45-17:30; Sa-Su 11:00-17:30 ""lors des nocturnes, lundis et samedis jusqu'à 19h, dernière admission 18h30"""
Le Clos des Gourmets,48.8600296,2.3006336,,,,
Au Pied de Fouet,48.8516415,2.3185465,,,,"Mo-Sa 12:00-14:30,19:00-23:00"
Chez Germaine,48.8482525,2.3194882,Rue Pierre Leroux,,,
Chez l'Ami Jean,48.8604171,2.3059560,Rue Malar,,,"Tu-Sa 12:00-14:00,19:00-24:00"
Le Petit Tibéro,48.8537038,2.3235630,,,,
L'Astrance,48.8650879,2.2899274,Rue de Longchamp,,,
Yotaro sushi,48.8523799,2.4036853,,,,
Doppio,48.8795968,2.3519355,,,,
Le 20e Art,48.8544589,2.4006544,,,,
Le Petit Littré,48.8450378,2.3240399,,,,"Tu-Sa 12:00-14:30,19:00-22:30"
Gildas Delamer,48.8395987,2.2669254,Boulevard Exelmans,,,
Suraj,48.8274124,2.3148434,,,,
L'Ancienne Menuiserie,48.8673444,2.3739608,,,,
Traiteur et nouilles maison,48.8950281,2.3406331,,,,
Aux Tables du Père Lachaise,48.8632191,2.3875763,,,,
Bocamexa,48.8570725,2.3560078,,,,
Le Moulin à Café,48.8334851,2.3198808,Rue Sainte-Léonie,,,Tu-Sa 10:00-22:00
Le Muguet,48.8527753,2.4059315,,,,
La Vierge de la Réunion,48.8551966,2.4016334,,,,"Tu-Th 12:00-14:00, Tu-Sa 19:30-22:00+"
Sohna Punjab,48.8540343,2.4058858,Rue des Pyrénées,,,
Le Cardinal,48.8373556,2.2574212,,,,Mo-Su 07:00-01:00
Les Fontaines,48.8378442,2.2578811,,,,
Le Nemrod,48.8488333,2.3253506,,,,
La Grille Montorgueil,48.8647212,2.3469127,,,,
Le Plomb du Cantal,48.8693462,2.3552659,,,,Mo-Su 07:00-00:00
L’Arrosoir,48.8461619,2.3781320,,,,
Mama Nissa,48.8657876,2.3453001,,+33 1 42 36 52 15,https://www.mamanissa.fr/,Mo-Sa 12:00-22:30; Mo-We 16:00-18:00 closed
Vadrouille,48.8773406,2.3373832,,,,
Le Voltaire,48.8591165,2.3302244,,,,
Kokohana,48.8697776,2.3105917,,+33 1 45 62 15 68,,
La Table du Lancaster,48.8722601,2.3035046,,,,
Spoon,48.8686679,2.3066263,,,,
Le Dix restaurant,48.8671682,2.3656836,,,,
Léon de Bruxelles,48.8667526,2.3657202,,,,
Bong,48.8666561,2.3663425,,,,
Plein Soleil,48.8656439,2.3744745,Avenue Parmentier,,,
Saveur République,48.8630511,2.3852954,,,,
Le Mathurin,48.8780494,2.3721369,,,,"Mo-Sa 07:00-02:00, Su 09:00-02:00"
Le Roi du Pot-au-Feu,48.8721672,2.3266440,,,,
Au Banquier,48.8360044,2.3574926,,,,
Sala Thaï,48.8237611,2.3626525,,,,
Sweet KT,48.8477383,2.3484392,,,,"18:00-22:45, Mo-Sa 11:00-15:30"
Invitez Vous chez Nous,48.8415272,2.3511512,,,,
La P'tite Louise,48.8718873,2.3570864,,,,
Chez Gladines,48.8288139,2.3506397,Rue des Cinq Diamants,,,"Mo-Fr 12:00-15:00, 19:00-23:45; Sa, Su 12:00-16:00, 19:00-23:45"
Jupi,48.8844355,2.3243334,,,,
Giulia,48.8881228,2.3212456,,,,
L'Abadache,48.8886141,2.3198123,,,,
Just BE,48.8879876,2.3341073,,,,
Nawab,48.8940470,2.3341991,Rue Ordener,,,
La Cuisine de Philippe,48.8492934,2.3349249,,,,"Tu-Sa 12:00-14:00,19:00-21:30"
Matsuyama,48.8414290,2.2990451,,,,"We-Su 11:30-15:00, Mo-Su 18:30-23:00"
Forno Gusto,48.8516995,2.3336609,,,,"Mo-Fr 12:00-15:00,18:30-23:00; Sa-Su 12:00-23:00"
Le Refuge des Fondus,48.8844671,2.3410906,,+33142552265,https://www.lerefugedesfondus.com/,Mo-Su 19:00-02:00
Juicy Pop,48.8717809,2.3937884,,,,
Le Lion Indomptable,48.8566933,2.4002542,,,,
Café Jussieu,48.8456039,2.3547969,,+33 1 45 31 52 23,,
Les Sourires de Dante,48.8300397,2.3310990,,,,"Tu-Sa 12:00-14:15,19:45-22:15"
Ethik à Table,48.8374507,2.3523064,,,,
Van An,48.8334170,2.3554490,,,,"Mo-Fr 12:00-14:00,19:00-21:00"
Au Chien qui Fume,48.8457103,2.3192202,,,,Mo-Fr 07:00-24:00; Sa 08:00-24:00; Su 09:00-21:00
Thaiger,48.8523597,2.3444399,,,,
Tribeca,48.8568120,2.3062305,,,,
Le Terminus Nation,48.8484970,2.3995510,Cours de Vincennes,,,Mo-Sa 07:00-21:00
Le Dalou,48.8478383,2.3975522,Place de la Nation,,,"Mo-Sa 00:00-03:00,05:00-24:00; Su 00:00-24:00"
Guenmaï,48.8540277,2.3358692,,,,
Krishna Bhavan,48.8828817,2.3596543,Rue Cail,,,
Cellar,48.8641427,2.3676774,,,,
Aux Bons Amis,48.8742283,2.3755427,,,,
Le Tournesol,48.8404976,2.3244044,,,,
La Criée,48.8882137,2.3785003,,,,"Mo-Fr 11:45-14:30, PH,Sa,Su 11:45-15:00, Su-Th 18:45-22:30, Fr-Su 18:45-23:00"
Le Théâtre,48.8491569,2.2872385,,,,Mo 09:00-16:00; Tu-Sa 09:00-22:00
L'Usine de Charonne,48.8514932,2.3986920,,,,Mo-Su 07:30-01:00
Le Bistrot des Plantes,48.8300837,2.3230365,,,,
Café Charlot,48.8630156,2.3625783,Rue de Bretagne,,,Mo-Sa 09:00-01:00; Su 09:00-24:00
L’Estaminet des Enfants Rouges,48.8628790,2.3617210,Rue de Bretagne,,,Tu-Sa 09:00-20:00; Su 09:00-16:00
Le Boucl'Art,48.8528282,2.4062488,,,,
Les Pipos,48.8474779,2.3483547,Rue de l'École Polytechnique,,,Mo-Sa 09:00-01:00
Hanawa,48.8672258,2.3079158,,,,
Brasserie Wepler,48.8838613,2.3277184,Place de Clichy,,,Mo-Su 08:30-00:30
Le Basilic,48.8861622,2.3341007,,,,
Le Bon Pêcheur,48.8619895,2.3484350,Rue Pierre Lescot,,,Mo-Su 08:00-00:00
Au Père Tranquille,48.8621980,2.3485488,,+33145080034,,
Le Bistrot des Oies,48.8718909,2.3674589,Rue Marie et Louise,,,"Mo-Fr 12:00-14:30,19:00-23:00; Tu 12:00-14:30"
Pizza Pino,48.8664056,2.3652791,,,,
Indiana,48.8663597,2.3644497,,,,
Kani,48.8675160,2.3625173,,,,
Arlecchino,48.8652936,2.3734738,Avenue de la République,,,
La Mère Lachaise,48.8643310,2.3862796,,,,
Le Miyanis,48.8662414,2.3841221,,,,
Les Marquises,48.8667135,2.3812373,Rue Oberkampf,,,
Kouchi Yaki,48.8661530,2.3798466,Rue Oberkampf,,,"Mo-Sa 11:30-15:00,18:00-23:30; Su 18:00-23:30"
Le Jumeyrah,48.8651060,2.3775521,Rue Saint-Maur,,,
Le Fujiwara,48.8657923,2.3770745,,,,
Kiobashi,48.8662313,2.3766863,,,,
Anika,48.8668560,2.3764374,,,,"Tu-Sa 12:00-15:00,19:00-23:30"
Schmoutz,48.8680409,2.3753921,,,,
Flam's,48.8598868,2.3476311,Rue des Lombards,,,Su-Th 11:45-23:30; Fr-Sa 11:45-24:00
The Moose,48.8518241,2.3377078,,,,Mo-Su 11:00-02:00
La table d'Aligre,48.8491407,2.3785568,,,,
Les Bombis,48.8467150,2.3839386,Rue Chaligny,,,"Mo-Sa 12:00-15:00, 19:00-22:30"
La commune libre d'Aligre,48.8479594,2.3771753,,,,
Nous 4,48.8468326,2.3790947,Rue Beccaria,,,
Les Affranchis,48.8483966,2.3726008,Avenue Daumesnil,,,Mo-Sa 06:00-23:00
Le Botaniste,48.8490362,2.3712506,Rue de Lyon,,,
Les Garnements,48.8477004,2.3736634,,,,Mo-Su 08:00-24:00
The Madison,48.8447706,2.3779554,,,,"Mo 11:00-24:00; Tu-Sa 00:00-02:00,11:00-24:00; Su 00:00-02:00"
Le Lys d'or,48.8451286,2.3836536,Rue Chaligny,,,
Le Pacha,48.8516706,2.3781819,Rue de la Main d'Or,,,
La cantine Diderot,48.8466308,2.3820511,,,,
Cinq Fois Plus de Piment,48.8622855,2.3522073,,+33 6 59 58 67 07,https://cinqfoisplus.fr/fr,"Tu-Su 12:00-15:00, 18:30-22:30"
L'Orient d'Or,48.8739244,2.3454201,,+33 1 48 00 07 73,,"Tu-Su 12:00-14:30,19:00-22:30; Mo off"
Happy Nouilles,48.8645203,2.3550824,,,,We-Mo 11:30-22:00
Poupée,48.8613333,2.3538187,,,,
Season,48.8651196,2.3626307,,,,
La Cantine du Siam,48.8489304,2.3762840,,+33 9 51 05 72 37,https://www.lacantinedusiam.fr/,"Mo 19:30-22:30; Tu-Th 12:30-14:30,19:30-22:30; Fr-Sa 12:30-14:30,19:30-23:00"
Miyako - 故宫,48.8462483,2.3786596,,,,"Mo-Sa 11:00-14:30,18:00-22:30"
L'indé...,48.8453283,2.3813011,,,,
Les Délices du Colonel,48.8445906,2.3834045,Place du Colonel Bourgoin,,,"Mo-Su 10:30-16:00,16:30-22:00"
Pizza Five,48.8477398,2.3888781,,,,
Thaï Kanda,48.8476122,2.3930340,,,,"Mo-Sa 11:30-14:30,18:30-22:30"
Jodhpur Palace,48.8420168,2.3896839,,,,"Mo-Su 12:00-14:00,19:00-23:00"
Le Canon des Gobelins,48.8367142,2.3522749,,,,
Osaka Sushi,48.8297431,2.3515115,,,,
Bistrot du Jardin,48.8617057,2.3441306,Rue Berger,,,
Siseng,48.8722287,2.3651310,Quai de Jemmapes,,,"Tu-Fr 12:00-15:00,19:00-22:30; Sa-Su 12:00-15:30,19:00-22:30"
Le Feu de Mars,48.8275755,2.3532310,,,,
Le Square,48.8758235,2.3834309,,,,
Le Dellys,48.8783181,2.3578049,,,,Mo-Sa 10:00-02:00; Fr 10:00-24:00
Roméo,48.8701181,2.2849979,,,,
La Famille,48.8860554,2.3188123,,,,
Viet Siam,48.8741633,2.3754482,,,,
Lê Mai Vietnam,48.8361883,2.4001628,,,,"Mo-Sa 12:00-14:00,18:00-20:00"
Makoto,48.8361733,2.3992550,,,,"Mo-Sa,PH 11:30-14:30, Mo-Su,PH 18:30-22:30"
Capri's,48.8355057,2.3978609,,,,
Piccola Italia,48.8385476,2.3962122,,,,
Le Vingtième,48.8643936,2.4080349,,,,
Le Swann,48.8361097,2.4056728,,,,
Pataquès,48.8400454,2.3808140,,,,
Sushi Yuki,48.8347357,2.3876562,Rue Baron Le Roy,,,
Les Spectacles,48.8394999,2.3803553,Rue de Bercy,,,
Anco,48.8393205,2.3806346,,,,
Tony's & La Ultima,48.8535707,2.3434607,,,,12:00-24:00
L'Aubergeade,48.8466115,2.3835147,Rue Chaligny,,,"Tu-Su 19:00-22:00, We-Su 12:00-14:00"
Curry Villa,48.8464754,2.3834793,Rue Chaligny,,,"Mo-Su 12:00-14:00, 19:00-23:00"
La Boussole,48.8519100,2.3341836,,,,
Chez Francis,48.8650517,2.3018704,,,,
Le Cachiquet,48.8396241,2.4024373,,,,"Mo-Fr 07:50-15:00, Tu-Fr 17:30-24:00"
Capone Nation,48.8477852,2.3980971,Avenue du Trône,,,"Mo-Su 00:00-02:00,07:30-24:00"
Chez Prosper,48.8485856,2.3983193,Avenue du Trône,,,Mo-Su 07:30-01:30
Oh Sushi,48.8284431,2.3428787,,,,"Mo-Su 11:00-15:00,18:00-23:00"
Le Café Chineur,48.8319371,2.3141252,,,,
Wako,48.8330479,2.3162878,Rue Raymond Losserand,,,"12:00-14:30,19:00-22:30"
Shiawase,48.8332281,2.3169449,,,,"18:30-22:30, Mo-Sa 12:00-14:30"
Mosuke Restaurant,48.8362254,2.3224012,,+33 1 43 20 21 39,https://www.mosuke-restaurant.fr,
Chez Farhat,48.8363661,2.3223018,Rue Raymond Losserand,,,
Casa Dagusto,48.8324709,2.3200140,Rue de Plaisance,+33 1 45 42 30 70,https://www.restaurantcolombien.fr,"Tu-Th 12:00-15:00, 19:00-22:00; Fr-Sa 12:00-15:00, 19:00-23:00; Su 12:00-16:00"
Raon,48.8321640,2.3202607,,,,"Tu-Su 12:00-15:00,19:00-23:00"
L'Imprévu,48.8324508,2.3207231,Rue Didot,,,Mo-Su 08:00-02:00
Bai Thong,48.8514297,2.3722999,,+33 1 43 47 55 47,http://www.baithong.fr,
Loulou de Bastille,48.8544625,2.3823250,,,,
Le Goyavier,48.8507756,2.3816053,,,,
La Galette du Moulin,48.8840850,2.3374869,,,,
ADN,48.8867500,2.3464439,,,,
Foujita,48.8663999,2.3328148,,+33 9 83 96 77 55,,"Tu-Su 12:00-14:15,19:00-22:00"
Casa Naktel,48.8367172,2.3924117,,,,
Com Sàigòn,48.8366661,2.3926576,Rue de Wattignies,,,
Saray,48.8366787,2.3933514,,,,Mo-Su 11:00-23:00
Royal Montgallet,48.8432256,2.3893039,Rue Riesener,,,"Tu-Su 12:00-02:30,19:00-22:30"
Toto Sushi,48.8450336,2.3825955,,,,
Thai Time,48.8453967,2.3826032,,,,
Les Argentiers,48.8470342,2.3868537,Rue de Reuilly,,,"Mo-Su 00:00-01:00,06:30-24:00"
Kanji,48.8469567,2.3869061,,,,"Mo-Sa 11:00-16:00,18:00-23:00"
Sushi Bar,48.8466891,2.3824558,,,,"Mo-Sa 12:00-15:00,19:00-23:00 ; Su 19:00-23:00"
Capucine,48.8508333,2.3797344,,,,
Mamalee,48.8493705,2.3782973,Rue d'Aligre,,,
La Conivence,48.8481949,2.3766544,,,,
Sardegna Tavola,48.8482849,2.3767134,Rue de Cotte,,,"Tu-Sa 12:00-14:30, 19:30-22:45; Mo 12:00-14:30, 19:30-23:00"
Le China,48.8499216,2.3737700,,+33 1 43 46 08 09,http://www.lechina.eu,Su-Th 12:00-02:00; Fr-Sa 12:00-04:00
Les 2 Saveurs,48.8455915,2.3933569,Rue du Sergent Bauchat,,,
Edo Sushi,48.8410573,2.3873134,,,,Mo-Sa 11:30-14:30; Mo-Su 18:00-22:30
Chez André,48.8678179,2.3028379,,+33 1 47 20 59 57,https://www.chez-andre.com/,Mo-Su 12:00-24:00
I Quattro Mori,48.8478582,2.3735429,Rue Traversière,,,"Mo,We,Fr 08:00-19:00; Tu,Th 08:00-22:00; Sa 11:00-19:00; Su 11:00-16:00"
Chez Peppe,48.8483311,2.3741932,Rue Traversière,,,"Tu-Fr 09:30-14:30,16:30-19:45; Sa 09:30-19:45"
Bistrot de la Gare,48.8458407,2.3720988,,,,Mo-Su 08:00-00:00
L'Européen,48.8459184,2.3726478,,,,Mo-Su 07:30-01:00
Gemma,48.8491474,2.3746104,,,,"Mo-Th 12:00-14:30, 19:00-23:00; Fr 19:00-23:00; Sa-Su 12:00-23:00"
Ristorante Pellicano,48.8471402,2.3725177,Rue Traversière,,,"Mo-Fr 12:00-14:30, Mo-Sa 19:00-23:00, Sa 19:00-23:00"
Le singe à Paris,48.8490161,2.3747617,Rue Traversière,,,
Ginza,48.8470772,2.3727405,,,,
Le Viaduc Café,48.8475609,2.3752480,Avenue Daumesnil,,,Mo-Su 09:00-02:00
Le Delmas,48.8446604,2.3494341,Place de la Contrescarpe,,,Mo-Su 09:00-01:30
Karma,48.8469814,2.3726034,,,,"Mo-Fr 12:00-14:30,19:00-22:00; Sa 19:00-22:00"
Le Muratti's,48.8459741,2.3725698,,,,Mo-Su 06:30-23:00
Aux Cadrans,48.8459507,2.3730386,,,,Mo-Su 06:00-02:00
Fosca',48.8458112,2.3718694,Boulevard Diderot,,,
Brasserie – Pizzeria d’Azur,48.8464544,2.3718546,,,,
Queyrelou,48.8493603,2.3903036,,,,
Il Far Niente,48.8489954,2.3908138,,,,
Paya Thaï Aligre,48.8497475,2.3788828,Rue d'Aligre,,,"Mo-Sa 12:00-14:30,19:00-23:30"
Restaurant Universitaire,48.8468146,2.3805349,,,,
Colbeh,48.8442266,2.3492264,,,,
Escale à Saïgon,48.8310200,2.3347804,,,,
Le Bambou,48.8252128,2.3624715,,+33 1 45 70 91 75,,"Tu-Su 11:30-15:30, 18:30-22:30"
Pho Hoa Pasteur Saigon 新麗都酒家,48.8251313,2.3623868,,,,
Palais d'Asie,48.8248667,2.3622623,Avenue d'Ivry,+33 1 45 83 25 60,,
Y Bowl Noodle,48.8688040,2.3594807,,,,Mo-Sa 11:30-0:00;Su 12:00-17:00
L'Été en Pente Douce,48.8862979,2.3451631,,,,Mo-Su 12:00-24:00
Le Soleil de la Butte,48.8865096,2.3452428,,+33 1 46 06 18 24,http://le-soleil-de-la-butte.lafourchette.rest,"Su-We 09:00-12:00, Fr,Sa 09:00-06:00; Th 09:00-05:00"
Le Saigon,48.8490473,2.3745288,Rue Traversière,,,
Entre les Vignes,48.8462167,2.3753959,,,,"Mo-Sa 12:00-14:30,19:30-21:30"
King Marcel,48.8460027,2.3764579,,,,
La Valise,48.8460708,2.3770013,,,,
Gare aux vins,48.8458391,2.3749747,Boulevard Diderot,,,
Le Duc de Richelieu,48.8469247,2.3730534,Rue Parrot,,,Mo-Su 09:00-24:00
Li Yuan,48.8472307,2.3708678,,,,
Osaka,48.8467280,2.3702882,,,,"Mo-Sa 12:00-14:30,19:00-22:30"
Authentic Bento,48.8456137,2.3701195,,,,
Le Paris Lyon,48.8453198,2.3707747,,,,
La Maison du Délice,48.8457141,2.3704736,,,,Mo-Sa 10:30-22:00
Le Kaizen,48.8269211,2.3322906,,,,Mo-Sa 12:00-14:30; Mo-Sa 19:00-22:30
Assanabel,48.8275549,2.3356387,,+33 1 42 79 86 86,https://www.restaurant-assanabel.com/,"Mo-Su 12:00-15:00,19:00-23:00"
Le 61,48.8905909,2.3820031,,,,
Indian Swad,48.8324620,2.2973784,,,,
Da Attilio,48.8342552,2.3021401,,,,
Le Petit Pan,48.8331990,2.3058031,,,,"Tu-Sa 12:00-14:30,19:00-23:00"
Le Grand Pan,48.8330642,2.3057247,,,,
Cent Kilos,48.8320537,2.3030394,,,,
Brasserie de l'Ourcq,48.8920861,2.3792943,,,,
El omda,48.8922518,2.3794780,Rue de l'Ourcq,,,
DAME,48.8847672,2.3248422,,+33 9 53 17 54 17,,
Okinawa,48.8567473,2.3041925,,,,
La Maison du Sushi,48.8562200,2.3044115,,,,
Le Bosquet,48.8560475,2.3045247,,,,
La Fontaine de Jade,48.8555290,2.3047711,Avenue Bosquet,,,
Ricci Family,48.8555818,2.3053301,,,,
Le Gatsby,48.8549627,2.3050611,Avenue Bosquet,,,
Septième Vin,48.8547805,2.3051304,,,,
Milagro,48.8549635,2.3056659,,,,"Tu-Fr 12:00-14:30,19:00-22:00; Sa 19:00-22:00"
L'Annexe,48.8487827,2.3484052,,,,
La Petite Périgourdine,48.8488102,2.3472712,,,,
Le Coup de Torchon,48.8452626,2.3426036,Rue Saint-Jacques,,,"Mo-Sa 12:00-14:00, 19:00-22:00"
La Marquise,48.8451686,2.3207087,Boulevard du Montparnasse,,,
Café de L'Est,48.8759394,2.3585316,,,,
Bistrot Paul Bert,48.8522230,2.3849242,Rue Paul Bert,,,"Mo-Th 12:00-14:00,19:30-22:45; Fr,Sa 12:00-14:30,19:30-23:00"
Les Funambules,48.8510651,2.3842956,Rue Faidherbe,,,Mo-Su 08:00-01:00
BREIZH Café - Paul Bert,48.8525339,2.3847257,Rue Paul Bert,+33 1 42 78 27 49,https://breizhcafe.com/fr/,
Maydo,48.8452457,2.3838856,,+33 1 43 41 59 64,,
César Pizza,48.8368523,2.3527784,,,,
Le Siècle,48.8718006,2.3062883,,,,
Délice d'Or,48.8524629,2.4041332,,,,
Caffé Vito,48.8576321,2.3546405,Rue des Archives,+33 1 42 74 08 84,https://www.caffe-vito.fr/,08:00-02:00
Le Ju,48.8577293,2.3547383,Rue des Archives,,,Mo-Su 07:00-02:00
La Piazza,48.8343459,2.3060180,,,,
Chai 33,48.8331731,2.3864450,,,,
Hippopotamus,48.8330278,2.3862477,,,,
Le Poncelet,48.8803159,2.2995227,,,,
Sukoshi,48.8330119,2.3635033,,,,
Village Tao Tao,48.8322800,2.3612312,,,,"12:00-14:30,19:00-23:00"
Phò,48.8321701,2.3590298,,,,
Crêperie Paris Breizh,48.8319327,2.3582100,Boulevard Vincent Auriol,,,"Mo-Sa 12:00-14:30,19:00-22:30"
golden canard,48.8330845,2.3614620,,,,10:00-19:00
Au Petit Village,48.8332913,2.3561953,,,,
Lefty,48.8707670,2.3412257,Rue Vivienne,,,
Tenzin Cuisine Tibétaine,48.8709509,2.3414589,Galerie des Variétés,,,
Aux Bon Petit Plats,48.8705891,2.3420918,Galerie Montmartre,,,
Bar des Variétés,48.8708081,2.3416384,Passage des Panoramas,,,
Café d'Italie,48.8321433,2.3547072,,,,
Maison Cluny,48.8505555,2.3448519,,,,
El Sol y la Luna,48.8512989,2.3459983,,,,
Top Pizza & Grill,48.8353091,2.3587223,Boulevard de l'Hôpital,,,
Paris-Hanoï,48.8534095,2.3799147,,,,"Mo-Su 12:00-14:30,19:00-22:30"
Paloma,48.8723117,2.3823173,,,,"Mo-Fr 12:00-14:00, Tu-Sa 18:00-23:00"
Aki,48.8661465,2.3353287,,+33 1 42 97 54 27,,Mo-sa 11:30-22:45
Wassana,48.8861847,2.3270688,,,,
Restorante Verdi,48.8321878,2.3587424,,,,
L'Inédit Café,48.8375203,2.3917674,Rue Taine,,,
L'Avenue,48.8974129,2.3292183,,,,
Le Café de Paris,48.8538691,2.3376359,,,,08:00-21:00
Pizza Hut,48.8696054,2.4023350,,+33 1 40 30 16 16,,
Sushi Tokyo,48.8830692,2.3825494,,,,"Mo-Su 18:00-23:00,11:00-14:45"
Restaurant indien,48.8839003,2.3840684,,,,
Regalia,48.8459719,2.2775704,Rue de la Convention,,,"Mo 06:30-24:00, Tu-Fr 06:30-01:00, Sa 08:00-01:00, Su 09:00-20:00"
Saveurs Végét'halles,48.8605714,2.3454975,,,,"Mo-Sa 12:00-15:00, 19:00-23:00"
Les Petits Plats,48.8286382,2.3222161,,,,
Comptoir d'Alésia,48.8291859,2.3226894,,,,
Le Pavé,48.8590612,2.3498201,,,,
La Rimaudière,48.8768016,2.3394255,,,,
Khun Akorn,48.8496002,2.3981379,,,,"Tu-Fr 12:00-14:00, Mo-Sa 19:30-23:00"
Café Titon,48.8528829,2.3864220,,,,
